Unnamed: 0,티커,종목명,강도_1m,강도_2m,최종점수,비고
1,483650,달바글로벌,0.03270149949748451,0.06513324121401833,0.1956694814230057,중복(2배)
2,11070,LG이노텍,0.03275213635101894,0.06399404582441356,0.193492364350865,중복(2배)
3,71970,HD현대마린엔진,0.03301038767774413,0.06049759143137402,0.1870159582182363,중복(2배)
4,112610,씨에스윈드,0.0279765872396533,0.01489021906713565,0.0857336126135779,중복(2배)
5,138930,BNK금융지주,0.01392396369506598,0.02485245642854505,0.07755284024722206,중복(2배)
6,272210,한화시스템,0.01600278036073614,0.005961655654888869,0.04392887203125001,중복(2배)
7,5935,삼성전자우,0.01179078812678042,0.01000427895127587,0.04359013415611257,중복(2배)
8,5385,현대차우,0.01309132458541318,-0.01784991123234305,0.01309132458541318,1개월상위
9,270,기아,0.009170104940359998,0.00981850448261961,0.00981850448261961,2개월상위
10,3490,대한항공,0.009362729061566013,0.001558033358618982,0.009362729061566013,1개월상위
11,660,SK하이닉스,0.009232104874818228,-0.02749978523302729,0.009232104874818228,1개월상위
12,66570,LG전자,0.007935739095393442,0.00822678906053196,0.00822678906053196,2개월상위
13,5380,현대차,0.008700376831812743,0.0062467715132422,0.0062467715132422,2개월상위
